id,Title,Type,Date,Source,link
222,Statement on behalf of the Group of Friends of R2P at the 31st session of the Human Rights Council,Official Statement,2016-03-10 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-HRC31-GOF-IDHCHR-.pdf
223,Statement delivered on behalf of the Group of Friends of R2P at the 31st session of the Human Rights Council,Official Statement,2016-03-03 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/03/2016-HRC31-GOF-IIDSAPoG.pdf
224,"Statement on behalf of the Group of Friends on the Responsibility to Protect at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect""",Official Statement,2016-02-26 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-GOFR2P.pdf
225,"Statement by Mexico at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Mexico,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Mexico.pdf
226,"Statement by Venezuela at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Venezuela,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Venezuela.pdf
227,"Statement by Turkey at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Turkey,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Turkey.pdf
228,"Statement by Kyrgyzstan at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Kyrgyzstan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Kyrgyzstan.pdf
229,"Statement by the United Kingdom at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,United Kingdom,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-UK.pdf
230,"Statement by Japan at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Japan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Japan.pdf
231,"Statement by the UN Office on Drugs and Crime at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Official Statement,2016-02-26 00:00:00,UN Office on Drugs and Crime,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-UNODC.pdf
232,"Statement by the Philippines at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Philippines,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Philippines.pdf
233,"Statement by the former High Commissioner for Human Rights, Navi Pillay, at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Official Statement,2016-02-26 00:00:00,Former UN High Commissioner for Human Rights Navi Pillay,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Pillay.pdf
234,"Statement by the European Union at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,EU,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-EU.pdf
235,"Statement by Iran at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Iran,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Iran.pdf
236,"Statement by the ICRtoP at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Official Statement,2016-02-26 00:00:00,International Coalition for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-ICRtoP.pdf
237,"Statement by Deputy Secretary-General Jan Eliasson at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Official Statement,2016-02-26 00:00:00,UN Deputy Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-DSG.pdf
238,"Statement by Ghana at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Ghana,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Ghana.pdf
239,"Statement by Tanzania at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Tanzania,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Tanzania.pdf
240,"Statement by Syria at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Syria,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Syria.pdf
241,"Statement by Georgia at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Georgia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Georgia.pdf
242,"Statement by Switzerland at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Switzerland,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Switzerland-Fr.pdf
243,"Statement by Egypt at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Egypt,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Egypt.pdf
244,"Statement by Sudan at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Sudan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Sudan.pdf
245,"Statement by Ecuador at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Ecuador,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Ecuador.pdf
246,"Statement by Denmark (on behalf of the Nordic countries) at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Denmark,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Denmark-on-behalf-of-Nordic-countries.pdf
247,"Statement by Spain at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Spain,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Spain.pdf
248,"Statement by Cuba at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Cuba,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Cuba.pdf
249,"Statement by Slovenia at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Slovenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Slovenia.pdf
250,"Statement by Rwanda at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Rwanda.pdf
251,"Statement by Russia at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Russia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Russia.pdf
252,"Statement by Costa Rica at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Costa Rica,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Costa-Rica.pdf
253,"Statement by Romania at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Romania,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Romania.pdf
254,"Statement by China at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,China,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-China.pdf
255,"Statement by Canada at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Canada,https://www.globalr2p.org/wp-content/uploads/2016/02/2016-TPD-Canada.pdf
256,"Statement by Nigeria at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Nigeria,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Nigeria.pdf
257,"Statement by Burundi at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Burundi,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Burundi.pdf
258,"Statement by Brazil at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Brazil,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Brazil.pdf
259,"Statement by Nicaragua at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Nicaragua,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Nicaragua.pdf
260,"Statement by Morocco at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Morocco,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Morocco.pdf
261,"Statement by Belgium at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Belgium,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Belgium.pdf
262,"Statement by Belarus at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Belarus,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Belarus.pdf
263,"Statement by Australia at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Australia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Australia.pdf
264,"Statement by Armenia at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Armenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Armenia.pdf
265,"Statement by Argentina at the UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect,"" 26 February 2016",Government Statement,2016-02-26 00:00:00,Argentina,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-TPD-Argentina.pdf
266,"Statement by the UN Special Adviser on the Responsibility to Protect at the 2016 UN General Assembly Thematic Panel Discussion, ""From Commitment to Implementation: Ten Years of the Responsibility to Protect""",Official Statement,2016-02-26 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/02/2015-Feb-Panel-SAStatement.pdf
267,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Yemen, February 2016",Official Statement,2016-02-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/02/2016-Feb-SAStatment-Yemen.pdf
268,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation of civilians in the Syrian Arab Republic, February 2016",Official Statement,2016-02-12 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2017/02/2016-Feb-SAStatement-Syria.pdf
269,"Statement on behalf of the UN Group of Friends of the Responsibility to Protect at the UN Security Council Arria formula meeting on the ""Responsibility to Protect and non-state actors""",Official Statement,2015-12-14 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-UNSC-Arria-GOF-Non-State-Actors.pdf
270,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the upcoming elections in Myanmar, November 2015",Official Statement,2015-11-04 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-Nov-SAStatement-Myanmar.pdf
271,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the escalation of incitement to violence in Syria on religious grounds, October 2015",Official Statement,2015-10-13 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-Oct-SAStatement-Syria.pdf
272,Statement by the UN Secretary-General to the 8th Ministerial meeting on the Responsibility to Protect,Official Statement,2015-09-30 00:00:00,UN Secretary-General,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-Statement-UNSG-R2P-Ministerial.pdf
273,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on accountability and reconciliation in Sri Lanka, September 2015",Official Statement,2015-09-17 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-Sept-SAStatement-Sri-Lanka.pdf
274,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Yemen, September 2015",Official Statement,2015-09-15 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-Sept-SAStatement-Yemen.pdf
275,Statement by Costa Rica at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Costa Rica,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Costa-Rica-Sp.pdf
276,Statement by China at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,China,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-China.pdf
277,Statement by Chile at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Chile,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Chile-En.pdf
278,Statement by Brazil at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Brazil,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Brazil.pdf
279,Statement by Botswana at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Botswana,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Botswana.pdf
280,Statement by Belgium at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Belgium,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Belgium-Fr.pdf
281,Statement by Belarus at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Belarus,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Belarus-Ru.pdf
282,Statement by Azerbaijan at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Azerbaijan,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Azerbaijan.pdf
283,Statement by Australia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Australia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Australia.pdf
284,Statement by Armenia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Armenia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Armenia.pdf
285,Statement by Albania at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Albania,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Albania.pdf
286,Statement by the European Union at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,EU,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-EU.pdf
287,Statement by the Czech Republic at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Czech Republic,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Czech-Republic.pdf
288,Statement by the Asia-Pacific Centre for the Responsibility to Protect at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2015-09-08 00:00:00,Asia-Pacific Center for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-APR2P.pdf
289,Statement by Thailand at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Thailand,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Thailand.pdf
290,Statement by Tanzania at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Tanzania,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Tanzania.pdf
291,Statement by Switzerland at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Switzerland,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Switzerland.pdf
292,Statement by Sweden at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Sweden,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Sweden.pdf
293,Statement by Sudan at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Sudan,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Sudan.pdf
294,Statement by Spain at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Spain,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Spain-Sp.pdf
295,Statement by South Africa at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,South Africa,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-South-Africa.pdf
296,Statement by Slovenia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Slovenia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Slovenia.pdf
297,Statement by Slovakia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Slovakia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Slovakia.pdf
298,Statement by Singapore at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Singapore,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Singapore.pdf
299,Statement by Sierra Leone at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Sierra Leone,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Sierra-Leone.pdf
300,Statement by Rwanda at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Rwanda.pdf
301,Statement by Romania at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Romania,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Romania.pdf
302,Statement by Qatar at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Qatar,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Qatar.pdf
303,Statement by Iran at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Iran,https://www.globalr2p.org/wp-content/uploads/2020/01/215-IID-Iran.pdf
304,Statement by Indonesia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Indonesia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Indonesia.pdf
305,Statement by India at the UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,India,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-India.pdf
306,Statement by Iceland on behalf of H.E. Mr. Sam Kutesa (President of the General Assembly) at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2015-09-08 00:00:00,President of the UN General Assembly,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-PGA.pdf
307,Statement by Hungary at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Hungary,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Hungary.pdf
308,Statement by Guatemala at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Guatemala,https://www.globalr2p.org/wp-content/uploads/2020/01/215-IID-Guatemala-Sp.pdf
309,Statement by Ghana at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Ghana,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Ghana.pdf
310,Statement by Germany at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Germany,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Germany.pdf
311,Statement by Georgia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Georgia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Georgia.pdf
312,Statement by France at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,France,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-France-Fr.pdf
313,Statement by Finland at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Finland,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Finland.pdf
314,"Statement by Estonia on behalf of Estonia, Latvia, and Lithuania at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Government Statement,2015-09-08 00:00:00,Estonia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Estonia-Latvia-Lithuania.pdf
315,Statement by Egypt at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Egypt,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Egypt.pdf
316,Statement by Denmark at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Denmark,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Denmark.pdf
317,Statement by Cyprus at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Cyprus,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Cyprus.pdf
318,Statement by Cuba at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Cuba,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Cuba-Sp.pdf
319,Statement by Croatia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Croatia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Croatia.pdf
320,Statement by ICRtoP at the UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2015-09-08 00:00:00,International Coalition for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-ICRtoP.pdf
321,Statement by Poland at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Poland,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Poland.pdf
322,Statement by Peru at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Peru,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Peru.pdf
323,Statement by Panama at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Panama,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Panama-Sp.pdf
324,Statement by Norway at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Norway,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Norway.pdf
325,Statement by Nigeria at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Nigeria,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Nigeria.pdf
326,Statement by New Zealand at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,New Zealand,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-New-Zealand.pdf
327,Statement by Myanmar at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Myanmar,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Myanmar.pdf
328,Statement by Morocco at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Morocco,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Morocco-Fr.pdf
329,Statement by Mexico at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Mexico,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Mexico-Sp.pdf
330,Statement by Malaysia at the 2015 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2015-09-08 00:00:00,Malaysia,https://www.globalr2p.org/wp-content/uploads/2020/01/2015-IID-Malaysia.pdf
